Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [30, 75, 844, 21], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [30, 75, 282, 21], ""is_host"": false}]","{""ksize"": [1, 2, 4, 1], ""strides"": [1, 1, 3, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""30,2,75,844,16""",FLOAT16,NC1HWC0,"""30,2,75,282,16""",FLOAT16,NC1HWC0,2,5781.526471,0.0,0.365646,0.108349,0.0,0.995231,0.428538
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [59, 243, 71, 54], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [59, 61, 15, 54], ""is_host"": false}]","{""ksize"": [1, 1, 1, 1], ""strides"": [1, 4, 5, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""59,4,243,71,16""",FLOAT16,NC1HWC0,"""59,4,61,15,16""",FLOAT16,NC1HWC0,2,2592.684559,0.0,0.107426,0.008849,0.0,0.990589,0.295323
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [19, 334, 508, 20], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [19, 66, 127, 20], ""is_host"": false}]","{""ksize"": [1, 5, 4, 1], ""strides"": [1, 5, 4, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""19,2,334,508,16""",FLOAT16,NC1HWC0,"""19,2,66,127,16""",FLOAT16,NC1HWC0,2,4938.964706,0.0,0.374503,0.030667,0.0,0.701756,0.167652
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [20, 1669, 35, 29], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [20, 557, 7, 29], ""is_host"": false}]","{""ksize"": [1, 2, 5, 1], ""strides"": [1, 3, 5, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""20,2,1669,35,16""",FLOAT16,NC1HWC0,"""20,2,557,7,16""",FLOAT16,NC1HWC0,2,1636.423529,0.0,0.28425,0.032112,0.0,0.98419,0.24681
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 299, 1669, 7], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 100, 334, 7], ""is_host"": false}]","{""ksize"": [1, 1, 4, 1], ""strides"": [1, 3, 5, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""11,1,299,1669,16""",FLOAT16,NC1HWC0,"""11,1,100,334,16""",FLOAT16,NC1HWC0,2,1413.802206,0.0,0.275134,0.027106,0.0,0.997758,0.480353
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 358, 963, 11], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 179, 321, 11], ""is_host"": false}]","{""ksize"": [1, 1, 1, 1], ""strides"": [1, 2, 3, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""11,1,358,963,16""",FLOAT16,NC1HWC0,"""11,1,179,321,16""",FLOAT16,NC1HWC0,2,1618.65,0.0,0.216459,0.03011,0.0,0.997195,0.758181
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 497, 2043, 7], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 124, 2041, 7], ""is_host"": false}]","{""ksize"": [1, 5, 3, 1], ""strides"": [1, 4, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""7,1,497,2043,16""",FLOAT16,NC1HWC0,"""7,1,124,2041,16""",FLOAT16,NC1HWC0,2,9023.743382,0.0,0.54468,0.073686,0.0,0.597145,0.229847
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [21, 743, 306, 9], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [21, 247, 302, 9], ""is_host"": false}]","{""ksize"": [1, 3, 5, 1], ""strides"": [1, 3, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""21,1,743,306,16""",FLOAT16,NC1HWC0,"""21,1,247,302,16""",FLOAT16,NC1HWC0,2,4889.445588,0.0,0.975928,0.17686,0.0,0.654958,0.430013
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [29, 470, 437, 7], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [29, 234, 146, 7], ""is_host"": false}]","{""ksize"": [1, 3, 2, 1], ""strides"": [1, 2, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""29,1,470,437,16""",FLOAT16,NC1HWC0,"""29,1,234,146,16""",FLOAT16,NC1HWC0,2,6388.269118,0.0,0.207766,0.036528,0.0,0.99963,0.398895
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [19, 174, 189, 54], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [19, 173, 187, 54], ""is_host"": false}]","{""ksize"": [1, 2, 3, 1], ""strides"": [1, 1, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""19,4,174,189,16""",FLOAT16,NC1HWC0,"""19,4,173,187,16""",FLOAT16,NC1HWC0,2,3878.359559,0.0,0.541699,0.121481,0.0,0.978389,0.798743
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [46, 395, 83, 25], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [46, 196, 81, 25], ""is_host"": false}]","{""ksize"": [1, 4, 3, 1], ""strides"": [1, 2, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""46,2,395,83,16""",FLOAT16,NC1HWC0,"""46,2,196,81,16""",FLOAT16,NC1HWC0,2,3430.677941,0.0,0.784581,0.281698,0.0,0.968247,0.669834
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [2, 983, 1872, 11], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [2, 197, 624, 11], ""is_host"": false}]","{""ksize"": [1, 4, 3, 1], ""strides"": [1, 5, 3, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""2,1,983,1872,16""",FLOAT16,NC1HWC0,"""2,1,197,624,16""",FLOAT16,NC1HWC0,2,2343.763971,0.0,0.220134,0.00725,0.0,0.837988,0.213613
