Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [492, 91, 921], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 417}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [492, 91, 417], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [492, 91, 417], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""492,91,921;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""492,91,417;492,91,417""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,162008.606618,0.0,0.943787,0.070071,0.0,0.030243,0.067064
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [632], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 190}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [190], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [190], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""632;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""190;190""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,7.645588,0.0,0.632622,0.056357,0.0,0.268513,0.056165
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [15, 31, 22, 240, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 16}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [15, 31, 22, 240, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [15, 31, 22, 240, 16], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""15,31,22,240,16;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""15,31,22,240,16;15,31,22,240,16""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,166826.607353,0.0,0.553597,0.662212,0.0,0.128442,0.229734
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [957, 93], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 50}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [957, 50], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [957, 50], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""957,93;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""957,50;957,50""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,473.640441,0.0,0.668874,0.265849,0.0,0.040334,0.309305
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [62], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 57}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [57], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [57], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""62;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""57;57""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,2.070588,0.0,0.18608,0.144886,0.0,0.414063,0.129261
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [174, 830, 408], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 36}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [174, 830, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [174, 830, 36], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""174,830,408;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""174,830,36;174,830,36""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,250964.898529,0.0,0.904478,0.119855,0.0,0.025407,0.089732
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 1, 99, 125, 391], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 347}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 1, 99, 125, 347], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [10, 1, 99, 125, 347], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""10,1,99,125,391;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""10,1,99,125,347;10,1,99,125,347""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,210974.628676,0.0,0.881907,0.122168,0.0,0.027965,0.127747
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [110, 234, 1937], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 1091}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [110, 234, 1091], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [110, 234, 1091], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""110,234,1937;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""110,234,1091;110,234,1091""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,233021.397794,0.0,0.953148,0.088979,0.0,0.029008,0.036264
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [255, 679], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 382}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [255, 382], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [255, 382], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""255,679;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""255,382;255,382""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,716.430882,0.0,0.908279,0.0875,0.0,0.035424,0.094349
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [197, 163, 1136], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 124}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [197, 163, 124], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [197, 163, 124], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""197,163,1136;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""197,163,124;197,163,124""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,165906.611029,0.0,0.968502,0.04661,0.0,0.017902,0.038278
