Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [532], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 8}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [8], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [8], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""532;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""8;8""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,7.686765,0.0,0.541611,0.065812,0.0,0.25177,0.035776
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [496, 489, 183], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 126}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [496, 489, 126], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [496, 489, 126], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""496,489,183;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""496,489,126;496,489,126""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,175279.671324,0.0,0.78335,0.240049,0.0,0.031826,0.230325
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [505, 932, 136], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 73}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [505, 932, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [505, 932, 73], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""505,932,136;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""505,932,73;505,932,73""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,292047.469118,0.0,0.733941,0.271253,0.0,0.033068,0.239809
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [968, 287, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 169}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [968, 287, 169], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [968, 287, 169], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""968,287,208;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""968,287,169;968,287,169""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,205341.833824,0.0,0.8601,0.149807,0.0,0.026121,0.247389
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1981, 1133], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 105}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1981, 105], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1981, 105], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1981,1133;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1981,105;1981,105""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,10286.231618,0.0,0.963818,0.05074,0.0,0.02449,0.038148
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 1650, 941], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 30}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 1650, 30], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [32, 1650, 30], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""32,1650,941;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""32,1650,30;32,1650,30""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,191934.740441,0.0,0.955605,0.063515,0.0,0.027896,0.050326
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1255], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 1109}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1109], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1109], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1255;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1109;1109""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,14.117647,0.0,0.791146,0.039792,0.0,0.127292,0.050833
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1497, 668], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 270}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1497, 270], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1497, 270], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1497,668;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1497,270;1497,270""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,3990.572059,0.0,0.934754,0.075785,0.0,0.027937,0.083257
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [14, 122, 12, 123, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 16}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [14, 122, 12, 123, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [14, 122, 12, 123, 16], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""14,122,12,123,16;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""14,122,12,123,16;14,122,12,123,16""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,171344.016912,0.0,0.553448,0.662039,0.0,0.12843,0.229914
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1256], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 705}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [705], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [705], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1256;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""705;705""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,13.701471,0.0,0.815069,0.039712,0.0,0.12064,0.03939
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1392], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 956}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [956], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [956], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1392;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""956;956""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,14.360294,0.0,0.879877,0.031336,0.0,0.087148,0.063185
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1727], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 690}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [690], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [690], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1727;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""690;690""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,16.655882,0.0,0.923274,0.025428,0.0,0.071075,0.027724
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [87, 12, 13, 90, 33], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 21}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [87, 12, 13, 90, 21], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [87, 12, 13, 90, 21], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""87,12,13,90,33;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""87,12,13,90,21;87,12,13,90,21""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,473061.373529,0.0,0.32039,0.476549,0.0,0.036118,0.391207
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1605], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 787}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [787], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [787], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1605;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""787;787""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,17.097059,0.0,0.850507,0.032857,0.0,0.120506,0.031309
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1675], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 322}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [322], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [322], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1675;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""322;322""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,16.758824,0.0,0.899351,0.028782,0.0,0.072657,0.047736
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19, 87, 76, 14, 32], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 30}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19, 87, 76, 14, 30], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [19, 87, 76, 14, 30], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""19,87,76,14,32;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""19,87,76,14,30;19,87,76,14,30""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,426519.238235,0.0,0.378596,0.270335,0.0,0.035524,0.598521
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1116], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 173}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [173], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [173], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1116;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""173;173""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,12.997059,0.0,0.779814,0.036094,0.0,0.142453,0.045712
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [145, 454, 149], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 27}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [145, 454, 27], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [145, 454, 27], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""145,454,149;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""145,454,27;145,454,27""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,46179.222794,0.0,0.732961,0.286095,0.0,0.033367,0.215137
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [127, 1033], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 903}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [127, 903], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [127, 903], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""127,1033;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""127,903;127,903""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,633.596324,0.0,0.937237,0.054278,0.0,0.032463,0.071688
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [51, 16, 184, 231], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 134}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [51, 16, 184, 134], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [51, 16, 184, 134], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""51,16,184,231;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""51,16,184,134;51,16,184,134""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,135851.367647,0.0,0.8216,0.214889,0.0,0.030958,0.188899
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [117, 39, 10, 45, 24], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 19}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [117, 39, 10, 45, 19], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [117, 39, 10, 45, 19], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""117,39,10,45,24;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""117,39,10,45,19;117,39,10,45,19""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,636506.736765,0.0,0.297283,0.403844,0.0,0.039595,0.486338
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [329, 492, 229], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 174}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [329, 492, 174], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [329, 492, 174], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""329,492,229;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""329,492,174;329,492,174""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,150002.399265,0.0,0.802219,0.225385,0.0,0.030676,0.195619
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [56, 212, 8, 6, 111], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 36}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [56, 212, 8, 6, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [56, 212, 8, 6, 36], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""56,212,8,6,111;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""56,212,8,6,36;56,212,8,6,36""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,286298.030882,0.0,0.745896,0.241504,0.0,0.035856,0.287761
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1717], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 1326}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1326], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1326], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1717;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1326;1326""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,18.467647,0.0,0.833891,0.029861,0.0,0.100812,0.040612
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [15, 86, 214, 162], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 155}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [15, 86, 214, 155], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [15, 86, 214, 155], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""15,86,214,162;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""15,86,214,155;15,86,214,155""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,210069.625,0.0,0.731994,0.302797,0.0,0.031999,0.229846
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1766], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 309}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [309], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [309], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1766;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""309;309""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,19.138235,0.0,0.83026,0.03089,0.0,0.098663,0.03258
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [118, 893, 318], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 276}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [118, 893, 276], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [118, 893, 276], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""118,893,318;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""118,893,276;118,893,276""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,135812.277941,0.0,0.888845,0.098971,0.0,0.028624,0.159307
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [572, 323, 242], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 72}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [572, 323, 72], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [572, 323, 72], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""572,323,242;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""572,323,72;572,323,72""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,175750.886029,0.0,0.786125,0.218021,0.0,0.035097,0.088599
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [82, 55, 11, 893], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 824}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [82, 55, 11, 824], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [82, 55, 11, 824], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""82,55,11,893;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""82,55,11,824;82,55,11,824""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,173185.170588,0.0,0.934261,0.085487,0.0,0.050887,0.066237
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [9, 92, 6, 31, 281], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 131}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [9, 92, 6, 31, 131], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [9, 92, 6, 31, 131], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""9,92,6,31,281;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""9,92,6,31,131;9,92,6,31,131""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,193005.655147,0.0,0.876678,0.143415,0.0,0.026103,0.139548
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [620], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 349}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [349], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [349], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""620;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""349;349""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,7.341176,0.0,0.652444,0.060697,0.0,0.223758,0.065304
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1885, 343], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 311}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1885, 311], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1885, 311], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1885,343;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1885,311;1885,311""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,2919.036765,0.0,0.87184,0.133898,0.0,0.026357,0.136188
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [136], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 113}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [113], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [113], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""136;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""113;113""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,3.933824,0.0,0.259813,0.111776,0.0,0.379813,0.133458
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [790], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 155}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [155], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [155], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""790;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""155;155""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,1,8.501471,0.0,0.709739,0.057775,0.0,0.19443,0.069192
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [9, 7, 117, 31, 202], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 119}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [9, 7, 117, 31, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [9, 7, 117, 31, 119], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""9,7,117,31,202;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""9,7,117,31,119;9,7,117,31,119""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,176856.652206,0.0,0.821405,0.204833,0.0,0.032145,0.212884
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [194, 46, 280, 26], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 16}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [194, 46, 280, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [194, 46, 280, 16], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""194,46,280,26;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""194,46,280,16;194,46,280,16""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,427882.654412,0.0,0.536542,0.633163,0.0,0.073893,0.101017
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1677, 661, 37], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 29}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1677, 661, 29], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1677, 661, 29], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1677,661,37;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1677,661,29;1677,661,29""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,390484.975,0.0,0.349959,0.440651,0.0,0.038434,0.415208
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1727, 778], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 294}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1727, 294], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1727, 294], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1727,778;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1727,294;1727,294""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,5293.883088,0.0,0.936387,0.068459,0.0,0.029611,0.074836
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [8, 205, 43, 529], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 279}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [8, 205, 43, 279], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [8, 205, 43, 279], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""8,205,43,529;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""8,205,43,279;8,205,43,279""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,158809.297059,0.0,0.892749,0.113555,0.0,0.025009,0.094704
