Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [30, 31, 34, 109, 52], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [30, 31, 34, 109, 52], ""is_host"": false}]",{},"""30,31,34,109,52""",INT8,FORMAT_ND,"""30,31,34,109,52""",INT8,FORMAT_ND,2,5140.848529,0.0,0.213335,0.016348,0.0,0.306141,0.7808
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [30, 31, 34, 109, 52], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [30, 31, 34, 109, 52], ""is_host"": false}]",{},"""30,31,34,109,52""",UINT8,FORMAT_ND,"""30,31,34,109,52""",UINT8,FORMAT_ND,2,5145.857353,0.0,0.213127,0.016332,0.0,0.314316,0.781048
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]",{},"""5,174,460,290""",INT32,FORMAT_ND,"""5,174,460,290""",INT32,FORMAT_ND,2,9710.355882,0.0,3.1e-05,0.011759,0.0,0.952334,0.999638
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]",{},"""5,174,460,290""",FLOAT16,FORMAT_ND,"""5,174,460,290""",FLOAT16,FORMAT_ND,2,4721.621324,0.0,6.6e-05,0.013141,0.0,0.951325,0.999566
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]",{},"""5,174,460,290""",INT8,FORMAT_ND,"""5,174,460,290""",INT8,FORMAT_ND,2,3318.665441,0.0,0.213989,0.016515,0.0,0.363264,0.779634
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [5, 174, 460, 290], ""is_host"": false}]",{},"""5,174,460,290""",UINT8,FORMAT_ND,"""5,174,460,290""",UINT8,FORMAT_ND,2,3315.913971,0.0,0.214167,0.016528,0.0,0.338824,0.77956
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]",{},"""3,408,8,16,1248""",INT32,FORMAT_ND,"""3,408,8,16,1248""",INT32,FORMAT_ND,2,16229.004412,0.0,2.5e-05,0.011846,0.0,0.995195,0.998953
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]",{},"""3,408,8,16,1248""",FLOAT16,FORMAT_ND,"""3,408,8,16,1248""",FLOAT16,FORMAT_ND,2,7885.958824,0.0,5.2e-05,0.013148,0.0,0.965373,0.999773
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]",{},"""3,408,8,16,1248""",INT8,FORMAT_ND,"""3,408,8,16,1248""",INT8,FORMAT_ND,2,5568.377206,0.0,0.214841,0.016291,0.0,0.26272,0.779275
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [3, 408, 8, 16, 1248], ""is_host"": false}]",{},"""3,408,8,16,1248""",UINT8,FORMAT_ND,"""3,408,8,16,1248""",UINT8,FORMAT_ND,2,5572.981618,0.0,0.214663,0.016277,0.0,0.141121,0.779471
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]",{},"""4,2,160,9,12580""",INT32,FORMAT_ND,"""4,2,160,9,12580""",INT32,FORMAT_ND,2,12044.794118,0.0,3.4e-05,0.011833,0.0,0.993419,0.999851
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]",{},"""4,2,160,9,12580""",FLOAT16,FORMAT_ND,"""4,2,160,9,12580""",FLOAT16,FORMAT_ND,2,5850.901471,0.0,7.2e-05,0.01314,0.0,0.9565,0.999696
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]",{},"""4,2,160,9,12580""",INT8,FORMAT_ND,"""4,2,160,9,12580""",INT8,FORMAT_ND,2,4125.830147,0.0,0.214946,0.016305,0.0,0.258079,0.779103
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [4, 2, 160, 9, 12580], ""is_host"": false}]",{},"""4,2,160,9,12580""",UINT8,FORMAT_ND,"""4,2,160,9,12580""",UINT8,FORMAT_ND,2,4128.058088,0.0,0.21483,0.016296,0.0,0.260229,0.779148
