Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [38, 260, 787, 8], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [38, 260, 394, 8], ""is_host"": false}]","{""ksize"": [1, 1, 2, 1], ""strides"": [1, 1, 2, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": true}","""38,1,260,787,16""",FLOAT16,NC1HWC0,"""38,1,260,394,16""",FLOAT16,NC1HWC0,2,7853.244853,0.0,0.232169,0.035728,0.0,0.999237,0.854142
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 1604, 158, 13], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 401, 79, 13], ""is_host"": false}]","{""ksize"": [1, 4, 2, 1], ""strides"": [1, 4, 2, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""11,1,1604,158,16""",FLOAT16,NC1HWC0,"""11,1,401,79,16""",FLOAT16,NC1HWC0,2,1977.247059,0.0,0.264742,0.051222,0.0,0.998648,0.52037
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [12, 90, 1670, 24], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [12, 30, 835, 24], ""is_host"": false}]","{""ksize"": [1, 3, 2, 1], ""strides"": [1, 3, 2, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""12,2,90,1670,16""",FLOAT16,NC1HWC0,"""12,2,30,835,16""",FLOAT16,NC1HWC0,2,2957.297059,0.0,0.141964,0.020098,0.0,0.934781,0.344703
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [24, 198, 607, 14], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [24, 1, 1, 14], ""is_host"": false}]","{""ksize"": [1, 198, 607, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""24,1,198,607,16""",FLOAT16,NC1HWC0,"""24,1,1,1,16""",FLOAT16,NC1HWC0,2,3488.832353,0.0,0.911912,0.688951,0.0,0.290601,0.000528
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [15, 515, 293, 25], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [15, 515, 98, 25], ""is_host"": false}]","{""ksize"": [1, 1, 10, 1], ""strides"": [1, 1, 3, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": true}","""15,2,515,293,16""",FLOAT16,NC1HWC0,"""15,2,515,98,16""",FLOAT16,NC1HWC0,2,4224.466912,0.0,0.94143,0.210744,0.0,0.884068,0.447016
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [25, 1005, 94, 23], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [25, 503, 32, 23], ""is_host"": false}]","{""ksize"": [1, 6, 6, 1], ""strides"": [1, 2, 3, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": true}","""25,2,1005,94,16""",FLOAT16,NC1HWC0,"""25,2,503,32,16""",FLOAT16,NC1HWC0,2,4403.633088,0.0,0.74447,0.154095,0.0,0.965698,0.283086
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [48, 237, 358, 10], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [48, 59, 90, 10], ""is_host"": false}]","{""ksize"": [1, 7, 6, 1], ""strides"": [1, 4, 4, 1], ""padding_mode"": ""CALCULATED"", ""pads"": [3, 1, 4, 3], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""48,1,237,358,16""",FLOAT16,NC1HWC0,"""48,1,59,90,16""",FLOAT16,NC1HWC0,2,6832.052941,0.0,0.698758,0.642494,0.0,0.304156,0.051592
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [8, 363, 835, 14], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [8, 91, 835, 14], ""is_host"": false}]","{""ksize"": [1, 5, 8, 1], ""strides"": [1, 4, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": true}","""8,1,363,835,16""",FLOAT16,NC1HWC0,"""8,1,91,835,16""",FLOAT16,NC1HWC0,2,5672.616912,0.0,0.794464,0.191487,0.0,0.219328,0.072758
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [37, 780, 52, 30], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [37, 1, 1, 30], ""is_host"": false}]","{""ksize"": [1, 780, 52, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""37,2,780,52,16""",FLOAT16,NC1HWC0,"""37,2,1,1,16""",FLOAT16,NC1HWC0,37,3800.694754,0.0,0.894969,0.676612,0.0,0.313259,0.001412
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [5, 1059, 46, 52], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [5, 1, 1, 52], ""is_host"": false}]","{""ksize"": [1, 1059, 46, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""5,4,1059,46,16""",FLOAT16,NC1HWC0,"""5,4,1,1,16""",FLOAT16,NC1HWC0,5,2150.649706,0.0,0.906723,0.067818,0.0,0.685068,0.000622
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [9, 1612, 237, 15], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [9, 1, 1, 15], ""is_host"": false}]","{""ksize"": [1, 1612, 237, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""9,1,1612,237,16""",FLOAT16,NC1HWC0,"""9,1,1,1,16""",FLOAT16,NC1HWC0,3,5525.340196,0.0,0.91783,0.692095,0.0,0.29841,0.000436
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [18, 459, 365, 17], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [18, 92, 122, 17], ""is_host"": false}]","{""ksize"": [1, 8, 6, 1], ""strides"": [1, 5, 3, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""18,2,459,365,16""",FLOAT16,NC1HWC0,"""18,2,92,122,16""",FLOAT16,NC1HWC0,2,10247.939706,0.0,0.426003,0.10229,0.0,0.607507,0.115065
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [3, 818, 719, 31], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [3, 1, 1, 31], ""is_host"": false}]","{""ksize"": [1, 818, 719, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""3,2,818,719,16""",FLOAT16,NC1HWC0,"""3,2,1,1,16""",FLOAT16,NC1HWC0,3,5807.070588,0.0,0.918357,0.68036,0.0,0.333021,0.000288
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 190, 1695, 28], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 39, 424, 28], ""is_host"": false}]","{""ksize"": [1, 9, 7, 1], ""strides"": [1, 5, 4, 1], ""padding_mode"": ""CALCULATED"", ""pads"": [4, 5, 2, 4], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""7,2,190,1695,16""",FLOAT16,NC1HWC0,"""7,2,39,424,16""",FLOAT16,NC1HWC0,2,7376.695588,0.0,0.565355,0.099898,0.0,0.424789,0.041722
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [13, 213, 261, 60], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [13, 107, 66, 60], ""is_host"": false}]","{""ksize"": [1, 2, 4, 1], ""strides"": [1, 2, 4, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""13,4,213,261,16""",FLOAT16,NC1HWC0,"""13,4,107,66,16""",FLOAT16,NC1HWC0,2,2073.008088,0.0,0.324679,0.031928,0.0,0.990888,0.363867
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [17, 155, 621, 41], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [17, 1, 1, 41], ""is_host"": false}]","{""ksize"": [1, 155, 621, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""17,3,155,621,16""",FLOAT16,NC1HWC0,"""17,3,1,1,16""",FLOAT16,NC1HWC0,17,6317.799135,0.0,0.910518,0.686463,0.0,0.339525,0.000494
