Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1593, 1817], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1593, 1817], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1593, 1817], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1593,1817;1593,1817;1593,1817""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,63104.180882,0.0,0.911459,0.217132,0.0,0.023898,1.1e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [702, 1074], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [702, 1074], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [702, 1074], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""702,1074;702,1074;702,1074""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,16364.630882,0.0,0.912784,0.349521,0.0,0.029013,2.9e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1007, 677], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1007, 677], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1007, 677], ""is_host"": false}]","{""reduction"": ""none""}","""1007,677;1007,677""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1007,677""",FLOAT16,FORMAT_ND,2,5579.258824,0.0,0.924847,0.422707,0.0,0.016744,0.006747
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1059, 1783], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1059, 1783], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1059, 1783], ""is_host"": false}]","{""reduction"": ""none""}","""1059,1783;1059,1783""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1059,1783""",FLOAT,FORMAT_ND,2,15332.185294,0.0,0.924475,0.426653,0.0,0.021846,0.011168
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [910, 1622], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [910, 1622], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [910, 1622], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [910, 1622], ""is_host"": false}]","{""reduction"": ""none""}","""910,1622;910,1622;910,1622""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""910,1622""",FLOAT16,FORMAT_ND,2,12034.490441,0.0,0.925118,0.426654,0.0,0.020389,0.006814
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [823, 1375], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [823, 1375], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""823,1375;823,1375""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,27697.219118,0.0,0.903574,0.120237,0.0,0.022941,1.7e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1906, 828], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1906, 828], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1906,828;1906,828""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,32203.942647,0.0,0.915167,0.359812,0.0,0.013016,1.5e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1903, 1428], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1903, 1428], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1903, 1428], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1903,1428;1903,1428;1903,1428""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,52106.047059,0.0,0.911063,0.3725,0.0,0.027583,9e-06
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [440], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [440], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""440;440""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,22.938235,0.0,0.777215,0.087768,0.0,0.071548,0.006155
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1543, 613], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1543, 613], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1543, 613], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1543, 613], ""is_host"": false}]","{""reduction"": ""none""}","""1543,613;1543,613;1543,613""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1543,613""",FLOAT,FORMAT_ND,2,7682.271324,0.0,0.923675,0.424947,0.0,0.028299,0.011698
