Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [368, 222], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [368, 222], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [368, 222], ""is_host"": false}]",{},"""368,222;368,222""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""368,222""",FLOAT16,FORMAT_ND,2,14.063971,0.0,0.039734,0.077534,0.0,0.691013,0.453286
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [312, 12], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [312, 12], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [312, 12], ""is_host"": false}]",{},"""312,12;312,12""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""312,12""",INT32,FORMAT_ND,2,2.497059,0.0,0.045936,0.073616,0.0,0.515607,0.234099
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [312, 12], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [312, 12], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [312, 12], ""is_host"": false}]",{},"""312,12;312,12""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""312,12""",FLOAT,FORMAT_ND,2,1.996324,0.0,0.065562,0.092081,0.0,0.441989,0.169797
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [312, 12], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [312, 12], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [312, 12], ""is_host"": false}]",{},"""312,12;312,12""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""312,12""",FLOAT16,FORMAT_ND,2,1.924265,0.0,0.036683,0.094765,0.0,0.457012,0.147879
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [876, 392, 314], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [876, 392, 314], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [876, 392, 314], ""is_host"": false}]",{},"""876,392,314;876,392,314""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""876,392,314""",INT32,FORMAT_ND,2,31051.919118,0.0,0.086811,0.04413,0.0,0.871649,0.519053
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [876, 392, 314], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [876, 392, 314], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [876, 392, 314], ""is_host"": false}]",{},"""876,392,314;876,392,314""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""876,392,314""",FLOAT,FORMAT_ND,2,33339.368382,0.0,0.155662,0.041102,0.0,0.805618,0.482919
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [876, 392, 314], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [876, 392, 314], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [876, 392, 314], ""is_host"": false}]",{},"""876,392,314;876,392,314""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""876,392,314""",FLOAT16,FORMAT_ND,2,15569.914706,0.0,0.089358,0.079943,0.0,0.833726,0.490763
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [276], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [276], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [276], ""is_host"": false}]",{},"""276;276""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""276""",INT32,FORMAT_ND,1,2.776471,0.0,0.019597,0.06303,0.0,0.435381,0.082627
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [276], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [276], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [276], ""is_host"": false}]",{},"""276;276""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""276""",FLOAT,FORMAT_ND,1,3.257353,0.0,0.019413,0.053725,0.0,0.357111,0.07088
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [276], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [276], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [276], ""is_host"": false}]",{},"""276;276""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""276""",FLOAT16,FORMAT_ND,1,1.117647,0.0,0.046053,0.156579,0.0,0.415789,0.163158
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1962, 565], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1962, 565], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1962, 565], ""is_host"": false}]",{},"""1962,565;1962,565""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""1962,565""",INT32,FORMAT_ND,2,306.283824,0.0,0.05077,0.047272,0.0,0.895241,0.53312
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1962, 565], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1962, 565], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1962, 565], ""is_host"": false}]",{},"""1962,565;1962,565""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1962,565""",FLOAT,FORMAT_ND,2,324.321324,0.0,0.088479,0.044638,0.0,0.863981,0.510954
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1962, 565], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1962, 565], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1962, 565], ""is_host"": false}]",{},"""1962,565;1962,565""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1962,565""",FLOAT16,FORMAT_ND,2,164.623529,0.0,0.087669,0.07853,0.0,0.820884,0.483934
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [346, 3, 140, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [346, 3, 140, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [346, 3, 140, 1179], ""is_host"": false}]",{},"""346,3,140,1179;346,3,140,1179""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""346,3,140,1179""",INT32,FORMAT_ND,2,42826.3,0.0,0.102314,0.011547,0.0,0.98128,0.675799
