Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179;286,1179""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""286,1179""",FLOAT,FORMAT_ND,2,87.990441,0.0,0.098089,0.012911,0.0,0.919961,0.706778
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179;286,1179""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""286,1179""",FLOAT16,FORMAT_ND,2,45.261765,0.0,0.094905,0.015888,0.0,0.913298,0.470921
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286, 1179], ""is_host"": false}]",{},"""286,1179;286,1179""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""286,1179""",INT32,FORMAT_ND,2,86.053676,0.0,0.097477,0.01315,0.0,0.961968,0.639418
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208;1479,526,208""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1479,526,208""",FLOAT,FORMAT_ND,2,40355.303676,0.0,0.100813,0.009665,0.0,0.958978,0.634131
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208;1479,526,208""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1479,526,208""",FLOAT16,FORMAT_ND,2,20305.455147,0.0,0.104276,0.002956,0.0,0.947727,0.575216
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1479, 526, 208], ""is_host"": false}]",{},"""1479,526,208;1479,526,208""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""1479,526,208""",INT32,FORMAT_ND,2,40427.248529,0.0,0.102597,0.009648,0.0,0.958228,0.633392
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888;44,888""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""44,888""",FLOAT,FORMAT_ND,2,14.316912,0.0,0.068615,0.014689,0.0,0.725746,0.44538
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888;44,888""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""44,888""",FLOAT16,FORMAT_ND,2,7.95,0.0,0.042915,0.023492,0.0,0.629671,0.247318
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [44, 888], ""is_host"": false}]",{},"""44,888;44,888""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""44,888""",INT32,FORMAT_ND,2,10.947794,0.0,0.048089,0.019209,0.0,0.767748,0.409631
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [434, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [434, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [434, 708], ""is_host"": false}]",{},"""434,708;434,708""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""434,708""",FLOAT,FORMAT_ND,2,76.830147,0.0,0.104126,0.013848,0.0,0.963106,0.591526
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [434, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [434, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [434, 708], ""is_host"": false}]",{},"""434,708;434,708""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""434,708""",FLOAT16,FORMAT_ND,2,48.352206,0.0,0.08005,0.014629,0.0,0.916757,0.626774
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [434, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [434, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [434, 708], ""is_host"": false}]",{},"""434,708;434,708""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""434,708""",INT32,FORMAT_ND,2,78.263235,0.0,0.099231,0.013595,0.0,0.963444,0.642787
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}]",{},"""28,23,11,21,708;28,23,11,21,708""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""28,23,11,21,708""",FLOAT,FORMAT_ND,2,26767.380147,0.0,0.101385,0.045271,0.0,0.927388,0.504596
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}]",{},"""28,23,11,21,708;28,23,11,21,708""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""28,23,11,21,708""",FLOAT16,FORMAT_ND,2,14642.897059,0.0,0.05158,0.119737,0.0,0.837297,0.524443
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [28, 23, 11, 21, 708], ""is_host"": false}]",{},"""28,23,11,21,708;28,23,11,21,708""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""28,23,11,21,708""",INT32,FORMAT_ND,2,26694.571324,0.0,0.055611,0.045394,0.0,0.942694,0.512714
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [19727], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [19727], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [19727], ""is_host"": false}]",{},"""19727;19727""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""19727""",FLOAT,FORMAT_ND,2,9.369118,0.0,0.056192,0.033433,0.0,0.592686,0.304191
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19727], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19727], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19727], ""is_host"": false}]",{},"""19727;19727""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""19727""",FLOAT16,FORMAT_ND,2,5.769853,0.0,0.049955,0.18198,0.0,0.575761,0.464636
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [19727], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [19727], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [19727], ""is_host"": false}]",{},"""19727;19727""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""19727""",INT32,FORMAT_ND,2,6.686765,0.0,0.044205,0.046404,0.0,0.744887,0.274687
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3266, 232], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3266, 232], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3266, 232], ""is_host"": false}]",{},"""3266,232;3266,232""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""3266,232""",FLOAT,FORMAT_ND,2,191.211765,0.0,0.102696,0.009129,0.0,0.988891,0.685089
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [3266, 232], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [3266, 232], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [3266, 232], ""is_host"": false}]",{},"""3266,232;3266,232""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""3266,232""",FLOAT16,FORMAT_ND,2,109.380147,0.0,0.050525,0.075149,0.0,0.835537,0.484744
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3266, 232], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3266, 232], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3266, 232], ""is_host"": false}]",{},"""3266,232;3266,232""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""3266,232""",INT32,FORMAT_ND,2,191.010294,0.0,0.101765,0.009139,0.0,0.985614,0.659831
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [352, 386], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [352, 386], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [352, 386], ""is_host"": false}]",{},"""352,386;352,386""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""352,386""",FLOAT,FORMAT_ND,2,48.219853,0.0,0.077281,0.041705,0.0,0.836975,0.445813
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [352, 386], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [352, 386], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [352, 386], ""is_host"": false}]",{},"""352,386;352,386""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""352,386""",FLOAT16,FORMAT_ND,2,22.205147,0.0,0.042915,0.093513,0.0,0.728468,0.369847
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [352, 386], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [352, 386], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [352, 386], ""is_host"": false}]",{},"""352,386;352,386""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""352,386""",INT32,FORMAT_ND,2,42.271324,0.0,0.083633,0.047644,0.0,0.821548,0.481066
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 57, 294, 296], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 57, 294, 296], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 57, 294, 296], ""is_host"": false}]",{},"""29,57,294,296;29,57,294,296""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""29,57,294,296""",FLOAT,FORMAT_ND,2,35569.509559,0.0,0.190503,0.002508,0.0,0.949318,0.593522
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [29, 57, 294, 296], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [29, 57, 294, 296], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [29, 57, 294, 296], ""is_host"": false}]",{},"""29,57,294,296;29,57,294,296""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""29,57,294,296""",FLOAT16,FORMAT_ND,2,19738.898529,0.0,0.095751,0.083109,0.0,0.806116,0.452546
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [29, 57, 294, 296], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [29, 57, 294, 296], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [29, 57, 294, 296], ""is_host"": false}]",{},"""29,57,294,296;29,57,294,296""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""29,57,294,296""",INT32,FORMAT_ND,2,35522.722059,0.0,0.104051,0.002511,0.0,0.957283,0.622128
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [66, 20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [66, 20], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [66, 20], ""is_host"": false}]",{},"""66,20;66,20""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""66,20""",FLOAT,FORMAT_ND,2,3.194853,0.0,0.029459,0.126122,0.0,0.481933,0.145224
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 20], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 20], ""is_host"": false}]",{},"""66,20;66,20""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""66,20""",FLOAT16,FORMAT_ND,2,1.880882,0.0,0.029711,0.326036,0.0,0.392103,0.188819
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [66, 20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [66, 20], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [66, 20], ""is_host"": false}]",{},"""66,20;66,20""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""66,20""",INT32,FORMAT_ND,2,1.866176,0.0,0.034673,0.215918,0.0,0.306935,0.280142
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [477], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [477], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [477], ""is_host"": false}]",{},"""477;477""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""477""",FLOAT,FORMAT_ND,1,1.723529,0.0,0.042662,0.101536,0.0,0.441126,0.127986
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [477], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [477], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [477], ""is_host"": false}]",{},"""477;477""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""477""",FLOAT16,FORMAT_ND,1,1.325,0.0,0.039956,0.130966,0.0,0.357381,0.144284
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [477], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [477], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [477], ""is_host"": false}]",{},"""477;477""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""477""",INT32,FORMAT_ND,1,1.272059,0.0,0.046243,0.137572,0.0,0.406936,0.17341
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [127, 102, 184, 58], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [127, 102, 184, 58], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [127, 102, 184, 58], ""is_host"": false}]",{},"""127,102,184,58;127,102,184,58""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""127,102,184,58""",FLOAT,FORMAT_ND,2,36476.032353,0.0,0.101058,0.014258,0.0,0.939283,0.582295
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [127, 102, 184, 58], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [127, 102, 184, 58], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [127, 102, 184, 58], ""is_host"": false}]",{},"""127,102,184,58;127,102,184,58""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""127,102,184,58""",FLOAT16,FORMAT_ND,2,17235.616912,0.0,0.080132,0.015678,0.0,0.999695,0.764247
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [127, 102, 184, 58], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [127, 102, 184, 58], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [127, 102, 184, 58], ""is_host"": false}]",{},"""127,102,184,58;127,102,184,58""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""127,102,184,58""",INT32,FORMAT_ND,2,35901.738235,0.0,0.076939,0.014486,0.0,0.961129,0.591411
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [258, 258, 108], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [258, 258, 108], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [258, 258, 108], ""is_host"": false}]",{},"""258,258,108;258,258,108""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""258,258,108""",FLOAT,FORMAT_ND,2,2156.895588,0.0,0.159463,0.028598,0.0,0.742531,0.413815
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [258, 258, 108], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [258, 258, 108], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [258, 258, 108], ""is_host"": false}]",{},"""258,258,108;258,258,108""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""258,258,108""",FLOAT16,FORMAT_ND,2,998.280147,0.0,0.052265,0.119945,0.0,0.829952,0.492656
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [258, 258, 108], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [258, 258, 108], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [258, 258, 108], ""is_host"": false}]",{},"""258,258,108;258,258,108""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""258,258,108""",INT32,FORMAT_ND,2,2009.932353,0.0,0.090991,0.030691,0.0,0.803028,0.451527
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [995, 36, 160], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [995, 36, 160], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [995, 36, 160], ""is_host"": false}]",{},"""995,36,160;995,36,160""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""995,36,160""",FLOAT,FORMAT_ND,2,1416.397059,0.0,0.103833,0.008251,0.0,0.992979,0.657027
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [995, 36, 160], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [995, 36, 160], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [995, 36, 160], ""is_host"": false}]",{},"""995,36,160;995,36,160""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""995,36,160""",FLOAT16,FORMAT_ND,2,710.689706,0.0,0.089927,0.005726,0.0,0.995952,0.668858
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [995, 36, 160], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [995, 36, 160], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [995, 36, 160], ""is_host"": false}]",{},"""995,36,160;995,36,160""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""995,36,160""",INT32,FORMAT_ND,2,1415.819118,0.0,0.074953,0.008254,0.0,0.9964,0.694472
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [86, 374], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [86, 374], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [86, 374], ""is_host"": false}]",{},"""86,374;86,374""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""86,374""",FLOAT,FORMAT_ND,2,12.3125,0.0,0.067363,0.03619,0.0,0.691311,0.373365
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [86, 374], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [86, 374], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [86, 374], ""is_host"": false}]",{},"""86,374;86,374""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""86,374""",FLOAT16,FORMAT_ND,2,6.827941,0.0,0.034245,0.090243,0.0,0.512061,0.349558
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [86, 374], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [86, 374], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [86, 374], ""is_host"": false}]",{},"""86,374;86,374""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""86,374""",INT32,FORMAT_ND,2,9.319118,0.0,0.048603,0.047814,0.0,0.751065,0.400347
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [116], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [116], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [116], ""is_host"": false}]",{},"""116;116""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""116""",FLOAT,FORMAT_ND,1,1.705882,0.0,0.032759,0.1,0.0,0.5,0.118966
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [116], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [116], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [116], ""is_host"": false}]",{},"""116;116""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""116""",FLOAT16,FORMAT_ND,1,1.476471,0.0,0.020916,0.111554,0.0,0.434263,0.25
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [116], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [116], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [116], ""is_host"": false}]",{},"""116;116""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""116""",INT32,FORMAT_ND,1,1.119118,0.0,0.044678,0.152431,0.0,0.415243,0.18134
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [166, 184], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [166, 184], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [166, 184], ""is_host"": false}]",{},"""166,184;166,184""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""166,184""",FLOAT,FORMAT_ND,2,10.225735,0.0,0.076796,0.021931,0.0,0.673761,0.399727
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [166, 184], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [166, 184], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [166, 184], ""is_host"": false}]",{},"""166,184;166,184""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""166,184""",FLOAT16,FORMAT_ND,2,6.480882,0.0,0.03676,0.09553,0.0,0.593147,0.290674
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [166, 184], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [166, 184], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [166, 184], ""is_host"": false}]",{},"""166,184;166,184""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""166,184""",INT32,FORMAT_ND,2,10.714706,0.0,0.03994,0.020931,0.0,0.814439,0.31389
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [270, 170, 408], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [270, 170, 408], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [270, 170, 408], ""is_host"": false}]",{},"""270,170,408;270,170,408""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""270,170,408""",FLOAT,FORMAT_ND,2,4695.573529,0.0,0.101854,0.003848,0.0,0.919273,0.592786
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 170, 408], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 170, 408], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 170, 408], ""is_host"": false}]",{},"""270,170,408;270,170,408""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""270,170,408""",FLOAT16,FORMAT_ND,2,2636.036029,0.0,0.092864,0.092721,0.0,0.814672,0.477206
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 170, 408], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 170, 408], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 170, 408], ""is_host"": false}]",{},"""270,170,408;270,170,408""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""270,170,408""",INT32,FORMAT_ND,2,4679.538235,0.0,0.101609,0.003861,0.0,0.917501,0.594033
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [96, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [96, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [96, 380], ""is_host"": false}]",{},"""96,380;96,380""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""96,380""",FLOAT,FORMAT_ND,2,15.091176,0.0,0.061879,0.043656,0.0,0.705905,0.367034
