Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [174, 290, 212, 2, 8], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [174, 290, 212, 2, 8], ""is_host"": false}]",{},"""174,290,212,2,8""",FLOAT,FORMAT_ND,"""174,290,212,2,8""",FLOAT,FORMAT_ND,2,29049.175735,0.0,0.308218,0.009833,0.0,0.999724,0.899918
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [174, 290, 212, 2, 8], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [174, 290, 212, 2, 8], ""is_host"": false}]",{},"""174,290,212,2,8""",INT32,FORMAT_ND,"""174,290,212,2,8""",INT32,FORMAT_ND,2,29180.640441,0.0,0.234791,0.007663,0.0,0.999703,0.903749
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [6, 58, 20, 85, 222], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [6, 58, 20, 85, 222], ""is_host"": false}]",{},"""6,58,20,85,222""",FLOAT16,FORMAT_ND,"""6,58,20,85,222""",FLOAT16,FORMAT_ND,2,11155.110294,0.0,0.244233,0.009918,0.0,0.99965,0.884311
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [6, 58, 20, 85, 222], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [6, 58, 20, 85, 222], ""is_host"": false}]",{},"""6,58,20,85,222""",FLOAT,FORMAT_ND,"""6,58,20,85,222""",FLOAT,FORMAT_ND,2,22319.615441,0.0,0.30781,0.009141,0.0,0.999759,0.903027
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [6, 58, 20, 85, 222], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [6, 58, 20, 85, 222], ""is_host"": false}]",{},"""6,58,20,85,222""",INT32,FORMAT_ND,"""6,58,20,85,222""",INT32,FORMAT_ND,2,22353.708088,0.0,0.235182,0.008289,0.0,0.999715,0.899685
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [42, 468], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [42, 468], ""is_host"": false}]",{},"""42,468""",FLOAT16,FORMAT_ND,"""42,468""",FLOAT16,FORMAT_ND,2,6.264706,0.0,0.100235,0.092488,0.0,0.417958,0.317606
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [42, 468], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [42, 468], ""is_host"": false}]",{},"""42,468""",FLOAT,FORMAT_ND,"""42,468""",FLOAT,FORMAT_ND,2,7.022794,0.0,0.146582,0.053188,0.0,0.384567,0.401005
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [42, 468], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [42, 468], ""is_host"": false}]",{},"""42,468""",INT32,FORMAT_ND,"""42,468""",INT32,FORMAT_ND,2,5.252206,0.0,0.185076,0.070839,0.0,0.381352,0.343413
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [252, 26, 1, 20480], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [252, 26, 1, 20480], ""is_host"": false}]",{},"""252,26,1,20480""",FLOAT16,FORMAT_ND,"""252,26,1,20480""",FLOAT16,FORMAT_ND,2,11383.878676,0.0,0.244521,0.009928,0.0,0.999648,0.90769
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [252, 26, 1, 20480], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [252, 26, 1, 20480], ""is_host"": false}]",{},"""252,26,1,20480""",FLOAT,FORMAT_ND,"""252,26,1,20480""",FLOAT,FORMAT_ND,2,22803.086029,0.0,0.307819,0.00914,0.0,0.999852,0.905115
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [252, 26, 1, 20480], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [252, 26, 1, 20480], ""is_host"": false}]",{},"""252,26,1,20480""",INT32,FORMAT_ND,"""252,26,1,20480""",INT32,FORMAT_ND,2,22840.167647,0.0,0.23517,0.008289,0.0,0.9998,0.900997
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [98, 2198], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [98, 2198], ""is_host"": false}]",{},"""98,2198""",FLOAT16,FORMAT_ND,"""98,2198""",FLOAT16,FORMAT_ND,2,24.691176,0.0,0.185051,0.025432,0.0,0.787046,0.723645
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [98, 2198], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [98, 2198], ""is_host"": false}]",{},"""98,2198""",FLOAT,FORMAT_ND,"""98,2198""",FLOAT,FORMAT_ND,2,43.990441,0.0,0.260217,0.016297,0.0,0.870443,0.854397
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [98, 2198], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [98, 2198], ""is_host"": false}]",{},"""98,2198""",INT32,FORMAT_ND,"""98,2198""",INT32,FORMAT_ND,2,39.019118,0.0,0.223043,0.01093,0.0,0.883409,0.712716
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [482, 102, 2604], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [482, 102, 2604], ""is_host"": false}]",{},"""482,102,2604""",FLOAT16,FORMAT_ND,"""482,102,2604""",FLOAT16,FORMAT_ND,2,10852.148529,0.0,0.244716,0.010487,0.0,0.999604,0.887706
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [482, 102, 2604], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [482, 102, 2604], ""is_host"": false}]",{},"""482,102,2604""",FLOAT,FORMAT_ND,"""482,102,2604""",FLOAT,FORMAT_ND,2,21781.400735,0.0,0.307469,0.009811,0.0,0.999752,0.876044
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [482, 102, 2604], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [482, 102, 2604], ""is_host"": false}]",{},"""482,102,2604""",INT32,FORMAT_ND,"""482,102,2604""",INT32,FORMAT_ND,2,21817.335294,0.0,0.234888,0.008281,0.0,0.999775,0.872931
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [344, 477, 478], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [344, 477, 478], ""is_host"": false}]",{},"""344,477,478""",FLOAT16,FORMAT_ND,"""344,477,478""",FLOAT16,FORMAT_ND,2,6672.953676,0.0,0.243833,0.009974,0.0,0.999409,0.886778
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [344, 477, 478], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [344, 477, 478], ""is_host"": false}]",{},"""344,477,478""",FLOAT,FORMAT_ND,"""344,477,478""",FLOAT,FORMAT_ND,2,13321.273529,0.0,0.308008,0.009833,0.0,0.999706,0.875886
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [344, 477, 478], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [344, 477, 478], ""is_host"": false}]",{},"""344,477,478""",INT32,FORMAT_ND,"""344,477,478""",INT32,FORMAT_ND,2,13391.347059,0.0,0.234456,0.008269,0.0,0.999724,0.866788
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [88], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [88], ""is_host"": false}]",{},"""88""",FLOAT16,FORMAT_ND,"""88""",FLOAT16,FORMAT_ND,1,2.080882,0.0,0.040989,0.060777,0.0,0.368198,0.149117
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [88], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [88], ""is_host"": false}]",{},"""88""",FLOAT,FORMAT_ND,"""88""",FLOAT,FORMAT_ND,1,1.270588,0.0,0.094907,0.104167,0.0,0.334491,0.134259
