,Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
1,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [30, 823, 61, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [823], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [823], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [30, 823, 61, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [24690], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [24690], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""30,823,61,36;823;823""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""30,823,61,36;30,1,1,36;30,1,1,36""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1673513.513235,0.0,0.511208,0.128863,0.0,0.656798,0.120057
2,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 90, 67, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [90], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [90], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 90, 67, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19260], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19260], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""214,90,67,35;90;90""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""214,90,67,35;214,1,1,35;214,1,1,35""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1421918.979412,0.0,0.513569,0.127152,0.0,0.661936,0.11695
3,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [5, 203, 351, 170], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [203], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [203], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [5, 203, 351, 170], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1015], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1015], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""5,203,351,170;203;203""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""5,203,351,170;5,1,1,170;5,1,1,170""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,636530.664706,0.0,0.636365,0.128205,0.0,0.492557,0.120276
4,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19, 310, 46, 200], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [310], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [310], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [19, 310, 46, 200], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5890, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5890, 1], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""19,310,46,200;310;310""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""19,310,46,200;19,1,1,200;19,1,1,200""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,307481.660294,0.0,0.682719,0.123258,0.0,0.421953,0.129503
5,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [107, 267, 36, 56], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [267], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [267], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [107, 267, 36, 56], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28569, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [28569, 1], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""107,267,36,56;267;267""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""107,267,36,56;107,1,1,56;107,1,1,56""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,96691.702941,0.0,0.981005,0.127364,0.0,0.151399,0.097067
6,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [123], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [123], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [66, 123, 32, 249], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""66,123,32,249;123;123""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""66,123,32,249;66,1,1,249;66,1,1,249""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,164565.151471,0.0,0.809715,0.068793,0.0,0.345529,0.151649
7,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [36, 31, 298, 189], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""36,31,298,189;31;31""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""36,31,298,189;36,1,1,189;36,1,1,189""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,764456.448529,0.0,0.600789,0.160779,0.0,0.574494,0.131719
8,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [57], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [57], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [214, 57, 58, 73], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""214,57,58,73;57;57""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""214,57,58,73;214,1,1,73;214,1,1,73""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1186496.207353,0.0,0.649856,0.122716,0.0,0.453435,0.0848
9,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [20], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [760, 20, 21, 189], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""760,20,21,189;20;20""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""760,20,21,189;760,1,1,189;760,1,1,189""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,591724.719118,0.0,0.620866,0.134597,0.0,0.505975,0.124599
10,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [171], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [171], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [179, 171, 164, 7], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""179,171,164,7;171;171""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""179,171,164,7;179,1,1,7;179,1,1,7""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,5189272.85,0.0,0.507607,0.139988,0.0,0.664294,0.11264
11,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 287, 154, 48], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [287], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [287], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 287, 154, 48], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 287, 154, 48], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 287, 154, 48], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""29,287,154,48;287;287""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""29,287,154,48;29,1,1,48;29,1,1,48""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,94133.236765,0.0,0.980651,0.081418,0.0,0.113905,0.075459
12,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [31, 105, 86, 135], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [105], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [105], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [31, 105, 86, 135], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [31, 105, 86, 135], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [31, 105, 86, 135], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""31,105,86,135;105;105""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""31,105,86,135;31,1,1,135;31,1,1,135""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,517418.960294,0.0,0.657909,0.140478,0.0,0.441183,0.091359
13,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [14, 893, 39, 71], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [893], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [893], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [14, 893, 39, 71], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [14, 893, 39, 71], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [14, 893, 39, 71], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""14,893,39,71;893;893""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""14,893,39,71;14,1,1,71;14,1,1,71""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,791325.877941,0.0,0.613365,0.119528,0.0,0.496205,0.091585
14,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [385, 301, 18, 20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [301], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [301], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [385, 301, 18, 20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [385, 301, 18, 20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [385, 301, 18, 20], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""385,301,18,20;301;301""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""385,301,18,20;385,1,1,20;385,1,1,20""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,2298526.917647,0.0,0.501053,0.151078,0.0,0.668001,0.119527
15,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [42, 38, 125, 299], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [38], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [38], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [42, 38, 125, 299], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [42, 38, 125, 299], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [42, 38, 125, 299], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""42,38,125,299;38;38""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""42,38,125,299;42,1,1,299;42,1,1,299""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,404287.851471,0.0,0.660529,0.12297,0.0,0.493371,0.125515
16,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106, 224, 51, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [224], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [224], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106, 224, 51, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106, 224, 51, 35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106, 224, 51, 35], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""106,224,51,35;224;224""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""106,224,51,35;106,1,1,35;106,1,1,35""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1339780.141176,0.0,0.512954,0.127969,0.0,0.660142,0.116267
17,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 85, 642, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [85], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [85], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 85, 642, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 85, 642, 36], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [29, 85, 642, 36], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""29,85,642,36;85;85""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""29,85,642,36;29,1,1,36;29,1,1,36""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,127072.773529,0.0,0.903848,0.128927,0.0,0.305646,0.131222
18,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 94, 113, 506], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [94], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [94], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 94, 113, 506], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 94, 113, 506], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 94, 113, 506], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""10,94,113,506;94;94""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""10,94,113,506;10,1,1,506;10,1,1,506""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,394366.282353,0.0,0.651658,0.154287,0.0,0.53055,0.179769
19,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [510, 121, 408, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [121], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [121], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [510, 121, 408, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [510, 121, 408, 1], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [510, 121, 408, 1], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""510,121,408,1;121;121""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""510,121,408,1;510,1,1,1;510,1,1,1""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,2,34745.250735,0.0,0.825707,0.24269,0.0,0.11147,0.084009
20,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5, 174, 90, 493], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [174], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [174], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5, 174, 90, 493], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5, 174, 90, 493], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [5, 174, 90, 493], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""5,174,90,493;174;174""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""5,174,90,493;5,1,1,493;5,1,1,493""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,206325.041176,0.0,0.696684,0.116509,0.0,0.39837,0.127972
21,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [68, 231, 67, 42], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [231], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [231], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [68, 231, 67, 42], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [68, 231, 67, 42], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [68, 231, 67, 42], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""68,231,67,42;231;231""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""68,231,67,42;68,1,1,42;68,1,1,42""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1052602.429412,0.0,0.479051,0.132612,0.0,0.827088,0.128574
22,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 98, 230, 67], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [98], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [98], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 98, 230, 67], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 98, 230, 67], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [32, 98, 230, 67], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""32,98,230,67;98;98""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""32,98,230,67;32,1,1,67;32,1,1,67""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1191165.020588,0.0,0.649648,0.118144,0.0,0.453434,0.083176
23,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [120, 105, 155, 24], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [105], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [105], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [120, 105, 155, 24], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [120, 105, 155, 24], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [120, 105, 155, 24], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""120,105,155,24;105;105""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""120,105,155,24;120,1,1,24;120,1,1,24""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,83496.963235,0.0,0.957435,0.090181,0.0,0.157719,0.095565
24,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 18, 627, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [18], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [18], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 18, 627, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 18, 627, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 18, 627, 119], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""26,18,627,119;18;18""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""26,18,627,119;26,1,1,119;26,1,1,119""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,531505.414706,0.0,0.649967,0.112164,0.0,0.444843,0.087697
25,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 401, 99, 49], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [401], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [401], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 401, 99, 49], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 401, 99, 49], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 401, 99, 49], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""24,401,99,49;401;401""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""24,401,99,49;24,1,1,49;24,1,1,49""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,962784.008824,0.0,0.481912,0.129476,0.0,0.823312,0.128991
26,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [61, 11, 462, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [11], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [11], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [61, 11, 462, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [61, 11, 462, 119], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [61, 11, 462, 119], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""61,11,462,119;11;11""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""61,11,462,119;61,1,1,119;61,1,1,119""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,561421.069118,0.0,0.648005,0.123297,0.0,0.442716,0.085551
27,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 321, 47, 122], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [321], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [321], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 321, 47, 122], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 321, 47, 122], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [24, 321, 47, 122], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""24,321,47,122;321;321""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""24,321,47,122;24,1,1,122;24,1,1,122""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,624719.932353,0.0,0.636128,0.117248,0.0,0.495423,0.118194
28,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [104, 11, 36, 1223], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [11], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [11], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [104, 11, 36, 1223], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [104, 11, 36, 1223], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [104, 11, 36, 1223], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""104,11,36,1223;11;11""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""104,11,36,1223;104,1,1,1223;104,1,1,1223""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,163374.604412,0.0,0.757734,0.090859,0.0,0.371794,0.148096
