,Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
338,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3, 147, 111, 897], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [147], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [147], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3, 147, 111, 897], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3, 147, 111, 897], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3, 147, 111, 897], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""3,147,111,897;147;147""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""3,147,111,897;3,1,1,897;3,1,1,897""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,159820.207353,0.0,0.829428,0.14344,0.0,0.433034,0.136841
339,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [218, 4, 362, 198], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [4], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [4], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [218, 4, 362, 198], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [218, 4, 362, 198], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [218, 4, 362, 198], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""218,4,362,198;4;4""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""218,4,362,198;218,1,1,198;218,1,1,198""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,769742.673529,0.0,0.625729,0.16539,0.0,0.528869,0.155752
340,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [57, 25, 223, 110], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [25], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [25], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [57, 25, 223, 110], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [57, 25, 223, 110], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [57, 25, 223, 110], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""57,25,223,110;25;25""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""57,25,223,110;57,1,1,110;57,1,1,110""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,833094.372059,0.0,0.601949,0.149565,0.0,0.607689,0.129772
341,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1460, 48, 9, 91], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [48], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [48], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1460, 48, 9, 91], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1460, 48, 9, 91], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1460, 48, 9, 91], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""1460,48,9,91;48;48""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1460,48,9,91;1460,1,1,91;1460,1,1,91""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1138517.769118,0.0,0.632849,0.12852,0.0,0.47311,0.091617
342,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [249, 9, 96, 233], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [9], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [9], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [249, 9, 96, 233], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [249, 9, 96, 233], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [249, 9, 96, 233], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""249,9,96,233;9;9""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""249,9,96,233;249,1,1,233;249,1,1,233""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,111287.645588,0.0,0.897489,0.131009,0.0,0.333955,0.119497
343,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 86, 494, 33], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [86], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [86], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 86, 494, 33], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 86, 494, 33], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [26, 86, 494, 33], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""26,86,494,33;86;86""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""26,86,494,33;26,1,1,33;26,1,1,33""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,1215619.438235,0.0,0.510675,0.140976,0.0,0.650785,0.114266
344,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31, 35, 112, 360], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [35], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [35], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31, 35, 112, 360], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31, 35, 112, 360], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [31, 35, 112, 360], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""31,35,112,360;35;35""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""31,35,112,360;31,1,1,360;31,1,1,360""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,73869.377941,0.0,0.935631,0.109091,0.0,0.479378,0.197129
345,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [70, 24, 237, 100], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [24], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [24], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [70, 24, 237, 100], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [70, 24, 237, 100], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [70, 24, 237, 100], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""70,24,237,100;24;24""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""70,24,237,100;70,1,1,100;70,1,1,100""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,717015.717647,0.0,0.635482,0.111925,0.0,0.449167,0.082714
346,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [22, 30, 1891, 32], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [30], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [30], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [22, 30, 1891, 32], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [22, 30, 1891, 32], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [22, 30, 1891, 32], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""22,30,1891,32;30;30""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""22,30,1891,32;22,1,1,32;22,1,1,32""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,98664.897059,0.0,0.864947,0.14361,0.0,0.484735,0.144443
347,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [33, 139, 23, 412], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [139], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [139], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [33, 139, 23, 412], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [33, 139, 23, 412], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [33, 139, 23, 412], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""33,139,23,412;139;139""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""33,139,23,412;33,1,1,412;33,1,1,412""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,248851.920588,0.0,0.684108,0.110768,0.0,0.424231,0.133285
348,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [209, 8, 176, 112], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [8], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [8], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [209, 8, 176, 112], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [209, 8, 176, 112], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [209, 8, 176, 112], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""209,8,176,112;8;8""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""209,8,176,112;209,1,1,112;209,1,1,112""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,74732.516176,0.0,0.786215,0.127844,0.0,0.355963,0.135969
349,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [469, 20, 16, 219], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [20], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [20], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [469, 20, 16, 219], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [469, 20, 16, 219], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [469, 20, 16, 219], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""469,20,16,219;20;20""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""469,20,16,219;469,1,1,219;469,1,1,219""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,81131.432353,0.0,0.788401,0.068012,0.0,0.410459,0.167141
350,"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [134, 58, 39, 169], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [58], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [58], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [134, 58, 39, 169], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [134, 58, 39, 169], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [134, 58, 39, 169], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""134,58,39,169;58;58""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""134,58,39,169;134,1,1,169;134,1,1,169""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,544768.561765,0.0,0.632567,0.132293,0.0,0.492946,0.121411
351,"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 93, 29, 1968], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [93], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [93], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 93, 29, 1968], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 93, 29, 1968], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [10, 93, 29, 1968], ""is_host"": false}]","{""data_format"": ""ND"", ""epsilon"": 1e-06}","""10,93,29,1968;93;93""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""10,93,29,1968;10,1,1,1968;10,1,1,1968""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,1,163754.436765,0.0,0.756049,0.108339,0.0,0.458143,0.153952
