Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1497, 668], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""1497,668""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,143.75,0.0,0.94666,0.076072,0.0,0.631703,0.002107
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [14, 245, 51, 247, 1], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""14,245,51,247,1""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,10012.780882,0.0,0.991171,0.021265,0.0,0.415072,3e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [14, 245, 51, 247, 1], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""14,245,51,247,1""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,3975.076471,0.0,0.988262,0.02478,0.0,0.524763,7.6e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [15, 18, 94, 48, 52], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""15,18,94,48,52""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,14717.151471,0.0,0.990986,0.019131,0.0,0.418406,2.1e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [15, 18, 94, 48, 52], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""15,18,94,48,52""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,5804.941176,0.0,0.988007,0.023736,0.0,0.530579,5.2e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [85, 333, 1256], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""85,333,1256""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,8242.997059,0.0,0.9907,0.019344,0.0,0.417045,3.7e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [85, 333, 1256], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""85,333,1256""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,3292.482353,0.0,0.987348,0.024643,0.0,0.52829,9.2e-05
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [499, 35], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""499,35""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,8.875,0.0,0.589561,0.020713,0.0,0.605468,0.034134
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [499, 35], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]",{},"""499,35""",FLOAT16,FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,4.883824,0.0,0.415537,0.033725,0.0,0.444444,0.022282
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [763, 1629], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]",{},"""763,1629""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,300.923529,0.0,0.981273,0.023912,0.0,0.428011,0.000362
